shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
C..N04R,439,40.734314,-73.999750
C..N04R,440,40.734389,-73.999792
C..N04R,441,40.738807,-74.002433
C..N04R,442,40.738885,-74.002477
C..N04R,443,40.738964,-74.002514
C..N04R,444,40.739043,-74.002544
C..N04R,445,40.739121,-74.002567
C..N04R,446,40.739200,-74.002583
C..N04R,447,40.739278,-74.002592
C..N04R,448,40.739356,-74.002594
C..N04R,449,40.739434,-74.002590
C..N04R,450,40.739512,-74.002578
C..N04R,451,40.739589,-74.002560
C..N04R,452,40.739666,-74.002535
C..N04R,453,40.739744,-74.002502
C..N04R,454,40.739821,-74.002463
C..N04R,455,40.739897,-74.002417
C..N04R,456,40.739974,-74.002363
C..N04R,457,40.740893,-74.001690
C..N04R,458,40.745906,-73.998041
C..N04R,459,40.752287,-73.993391
C..N04R,460,40.757308,-73.989735
C..N04R,461,40.762456,-73.985984
C..N04R,462,40.763365,-73.985322
C..N04R,463,40.764986,-73.984138
C..N04R,464,40.768296,-73.981736
C..N04R,465,40.775594,-73.976410
C..N04R,466,40.781433,-73.972143
C..N04R,467,40.785868,-73.968916
C..N04R,468,40.791642,-73.964696
C..N04R,469,40.796092,-73.961454
C..N04R,470,40.800603,-73.958161
C..N04R,471,40.805085,-73.954882
C..N04R,472,40.807267,-73.953288
C..N04R,473,40.807330,-73.953236
C..N04R,474,40.807392,-73.953190
C..N04R,475,40.807455,-73.953148
C..N04R,476,40.807519,-73.953110
C..N04R,477,40.807583,-73.953075
C..N04R,478,40.807647,-73.953045
C..N04R,479,40.807711,-73.953018
C..N04R,480,40.807777,-73.952995
C..N04R,481,40.807842,-73.952976
C..N04R,482,40.807908,-73.952961
C..N04R,483,40.807975,-73.952950
C..N04R,484,40.808042,-73.952942
C..N04R,485,40.808109,-73.952939
C..N04R,486,40.808177,-73.952939
C..N04R,487,40.808245,-73.952941
C..N04R,488,40.809638,-73.953030
C..N04R,489,40.809699,-73.953033
C..N04R,490,40.809757,-73.953034
C..N04R,491,40.809815,-73.953033
C..N04R,492,40.809872,-73.953030
C..N04R,493,40.809927,-73.953025
C..N04R,494,40.809981,-73.953017
C..N04R,495,40.810035,-73.953007
C..N04R,496,40.810087,-73.952995
C..N04R,497,40.810138,-73.952980
C..N04R,498,40.810188,-73.952963
C..N04R,499,40.810237,-73.952943
C..N04R,500,40.810285,-73.952922
C..N04R,501,40.810332,-73.952898
C..N04R,502,40.810377,-73.952872
C..N04R,503,40.810422,-73.952842
C..N04R,504,40.811109,-73.952343
C..N04R,505,40.811167,-73.952300
C..N04R,506,40.811223,-73.952256
C..N04R,507,40.811279,-73.952210
C..N04R,508,40.811335,-73.952164
C..N04R,509,40.811390,-73.952117
C..N04R,510,40.811445,-73.952068
C..N04R,511,40.811500,-73.952019
C..N04R,512,40.811554,-73.951969
C..N04R,513,40.811608,-73.951917
C..N04R,514,40.811661,-73.951865
C..N04R,515,40.811714,-73.951811
C..N04R,516,40.811767,-73.951757
C..N04R,517,40.811819,-73.951701
C..N04R,518,40.811871,-73.951645
C..N04R,519,40.811923,-73.951586
C..N04R,520,40.812906,-73.950604
C..N04R,521,40.812938,-73.950568
C..N04R,522,40.812971,-73.950533
C..N04R,523,40.813004,-73.950498
C..N04R,524,40.813038,-73.950464
C..N04R,525,40.813073,-73.950430
C..N04R,526,40.813109,-73.950397
C..N04R,527,40.813145,-73.950363
C..N04R,528,40.813181,-73.950331
C..N04R,529,40.813219,-73.950298
C..N04R,530,40.813257,-73.950266
C..N04R,531,40.813296,-73.950234
C..N04R,532,40.813335,-73.950203
C..N04R,533,40.813376,-73.950172
C..N04R,534,40.813416,-73.950141
C..N04R,535,40.813459,-73.950112
C..N04R,536,40.814704,-73.949202
C..N04R,537,40.814741,-73.949174
C..N04R,538,40.814778,-73.949147
C..N04R,539,40.814815,-73.949121
C..N04R,540,40.814853,-73.949095
C..N04R,541,40.814892,-73.949070
C..N04R,542,40.814930,-73.949046
C..N04R,543,40.814969,-73.949023
C..N04R,544,40.815009,-73.949000
C..N04R,545,40.815049,-73.948977
C..N04R,546,40.815089,-73.948956
C..N04R,547,40.815130,-73.948935
C..N04R,548,40.815171,-73.948914
C..N04R,549,40.815212,-73.948895
C..N04R,550,40.815254,-73.948875
C..N04R,551,40.815297,-73.948857
C..N04R,552,40.817894,-73.947649
C..N04R,553,40.823696,-73.944947
C..N04R,554,40.823739,-73.944926
C..N04R,555,40.823781,-73.944904
C..N04R,556,40.823822,-73.944882
C..N04R,557,40.823862,-73.944860
C..N04R,558,40.823902,-73.944837
C..N04R,559,40.823941,-73.944814
C..N04R,560,40.823980,-73.944791
C..N04R,561,40.824018,-73.944767
C..N04R,562,40.824055,-73.944743
C..N04R,563,40.824092,-73.944719
C..N04R,564,40.824127,-73.944694
C..N04R,565,40.824163,-73.944669
C..N04R,566,40.824197,-73.944643
C..N04R,567,40.824231,-73.944617
C..N04R,568,40.824264,-73.944591
C..N04R,569,40.824783,-73.944216
C..N04R,570,40.824882,-73.944148
C..N04R,571,40.825903,-73.943403
C..N04R,572,40.825938,-73.943379
C..N04R,573,40.825975,-73.943355
C..N04R,574,40.826012,-73.943333
C..N04R,575,40.826049,-73.943311
C..N04R,576,40.826087,-73.943289
C..N04R,577,40.826125,-73.943269
C..N04R,578,40.826164,-73.943249
C..N04R,579,40.826202,-73.943229
C..N04R,580,40.826242,-73.943211
C..N04R,581,40.826281,-73.943193
C..N04R,582,40.826321,-73.943176
C..N04R,583,40.826362,-73.943159
C..N04R,584,40.826402,-73.943144
C..N04R,585,40.826444,-73.943128
C..N04R,586,40.826486,-73.943113
C..N04R,587,40.830518,-73.941514
C..N04R,588,40.832909,-73.940709
C..N04R,589,40.832940,-73.940700
C..N04R,590,40.832971,-73.940690
C..N04R,591,40.833003,-73.940680
C..N04R,592,40.833035,-73.940670
C..N04R,593,40.833067,-73.940659
C..N04R,594,40.833100,-73.940648
C..N04R,595,40.833133,-73.940637
C..N04R,596,40.833166,-73.940625
C..N04R,597,40.833199,-73.940613
C..N04R,598,40.833233,-73.940600
C..N04R,599,40.833266,-73.940587
C..N04R,600,40.833301,-73.940574
C..N04R,601,40.833335,-73.940560
C..N04R,602,40.833370,-73.940546
C..N04R,603,40.833405,-73.940532
C..N04R,604,40.834797,-73.939915
C..N04R,605,40.834840,-73.939896
C..N04R,606,40.834883,-73.939880
C..N04R,607,40.834926,-73.939866
C..N04R,608,40.834970,-73.939853
C..N04R,609,40.835014,-73.939841
C..N04R,610,40.835059,-73.939832
C..N04R,611,40.835104,-73.939823
C..N04R,612,40.835150,-73.939817
C..N04R,613,40.835196,-73.939812
C..N04R,614,40.835242,-73.939809
C..N04R,615,40.835289,-73.939807
C..N04R,616,40.835337,-73.939807
C..N04R,617,40.835385,-73.939808
C..N04R,618,40.835433,-73.939811
C..N04R,619,40.835482,-73.939817
C..N04R,620,40.836013,-73.939892
C..N04R,621,40.836920,-73.940033
C..N04R,622,40.836954,-73.940037
C..N04R,623,40.836987,-73.940042
C..N04R,624,40.837021,-73.940046
C..N04R,625,40.837054,-73.940049
C..N04R,626,40.837087,-73.940052
C..N04R,627,40.837121,-73.940054
C..N04R,628,40.837154,-73.940055
C..N04R,629,40.837188,-73.940056
C..N04R,630,40.837221,-73.940057
C..N04R,631,40.837254,-73.940057
C..N04R,632,40.837288,-73.940056
C..N04R,633,40.837321,-73.940055
C..N04R,634,40.837354,-73.940053
C..N04R,635,40.837388,-73.940050
C..N04R,636,40.837421,-73.940047
C..N04R,637,40.839251,-73.939881
C..N04R,638,40.839308,-73.939876
C..N04R,639,40.839366,-73.939871
C..N04R,640,40.839423,-73.939865
C..N04R,641,40.839480,-73.939858
C..N04R,642,40.839537,-73.939851
C..N04R,643,40.839593,-73.939843
C..N04R,644,40.839649,-73.939834
C..N04R,645,40.839705,-73.939824
C..N04R,646,40.839760,-73.939814
C..N04R,647,40.839815,-73.939802
C..N04R,648,40.839869,-73.939790
C..N04R,649,40.839923,-73.939778
C..N04R,650,40.839977,-73.939764
C..N04R,651,40.840030,-73.939750
C..N04R,652,40.840083,-73.939735
C..N04R,653,40.840719,-73.939561
